name,affiliation,author_id,email,connected_author
Ming-Chieh Shih,"Assistant Professor, National Tsing Hua University, Taiwan",f1wmyEkAAAAJ,Verified email at ntu.edu.tw,David Sontag
Ming-Chieh Shih,"Assistant Professor, National Tsing Hua University, Taiwan",f1wmyEkAAAAJ,Verified email at ntu.edu.tw,David Sontag
Ming-Chieh Shih,"Assistant Professor, National Tsing Hua University, Taiwan",f1wmyEkAAAAJ,Verified email at ntu.edu.tw,Michael Oberst
Ming-Chieh Shih,"Assistant Professor, National Tsing Hua University, Taiwan",f1wmyEkAAAAJ,Verified email at ntu.edu.tw,Michael Oberst
